City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
122,dalhart,36.0595,-102.5133,10.01,27,100,6.17,US,1699661264
123,yelizovo,53.1873,158.3805,1.08,100,75,1.0,RU,1699661264
124,dali,25.7,100.1833,8.7,81,2,0.97,CN,1699661265
125,lanxi,29.2195,119.477,12.41,91,100,1.34,CN,1699661265
126,cururupu,-1.8283,-44.8683,26.53,77,12,3.18,BR,1699661071
127,flying fish cove,-10.4217,105.6791,26.82,73,75,4.12,CX,1699661266
128,haiku-pauwela,20.9219,-156.3051,29.01,55,40,8.75,US,1699661266
129,tazovsky,67.4667,78.7,-9.91,95,43,3.37,RU,1699661050
130,burela de cabo,43.65,-7.4,16.21,93,100,7.24,ES,1699661266
131,trincomalee,8.5711,81.2335,27.63,76,10,3.08,LK,1699661199
132,arraial do cabo,-22.9661,-42.0278,23.98,94,20,1.54,BR,1699661133
133,la passe,45.5549,-0.8967,10.55,73,77,3.47,FR,1699661108
134,ancud,-41.8697,-73.8203,10.87,76,93,10.66,CL,1699661260
135,karachev,53.1229,34.9852,3.88,82,100,4.81,RU,1699661268
136,zag,46.9441,99.165,-15.45,72,1,1.65,MN,1699661268
137,tokar,18.4254,37.729,28.4,70,1,3.46,SD,1699661269
138,udachny,66.4167,112.4,-10.66,69,85,4.74,RU,1699661174
139,albertina,-22.2008,-46.6158,21.46,76,77,2.77,BR,1699661269
140,roshchino,60.2519,29.6085,6.22,93,100,3.57,RU,1699661270
141,fagaras,45.85,24.9667,9.02,75,89,1.08,RO,1699661270
142,amahai,-3.3333,128.9167,28.48,74,27,1.13,ID,1699661270
143,kone,-21.0595,164.8658,27.85,42,73,2.94,NC,1699661196
144,mabaruma,8.2,-59.7833,25.96,86,38,2.42,GY,1699661271
145,saint-pierre,-21.3393,55.4781,24.76,88,75,9.77,RE,1699661253
146,dzuunharaa,48.8523,106.4579,-17.05,92,6,1.35,MN,1699661272
147,keflavik,64.0049,-22.5624,3.24,87,75,5.14,IS,1699661228
148,tynda,55.1667,124.7167,-18.72,90,16,1.87,RU,1699661272
149,dawson creek,55.7666,-120.2362,0.74,74,31,2.36,CA,1699661273
150,semera,11.501,41.201,22.99,52,80,4.44,ET,1699661273
151,kununurra,-15.7667,128.7333,29.99,74,100,4.63,AU,1699661267
152,vilyuysk,63.7553,121.6247,-22.17,100,100,1.19,RU,1699661216
